id,transaction_date,purchase_amount,product_category,store_id
1,2025-01-01,120.50,Electronics,S001
2,2025-01-02,45.00,Books,S002
3,2025-01-03,89.99,Clothing,S001
4,2025-01-04,230.10,Home,S003
5,2025-01-05,15.75,Books,S002
6,2025-01-06,560.00,Electronics,S004
7,2025-01-07,75.25,Beauty,S001
8,2025-01-08,99.99,Sports,S003
9,2025-01-09,310.40,Furniture,S004
10,2025-01-10,22.99,Books,S002
11,2025-01-11,150.00,Clothing,S001
12,2025-01-12,45.50,Beauty,S003
13,2025-01-13,799.99,Electronics,S004
14,2025-01-14,60.00,Books,S002
15,2025-01-15,1200.00,Furniture,S005
16,2025-01-16,35.75,Clothing,S001
17,2025-01-17,88.80,Sports,S003
18,2025-01-18,42.10,Books,S002
19,2025-01-19,199.99,Electronics,S004
20,2025-01-20,27.50,Beauty,S001
21,2025-01-21,310.00,Furniture,S005
22,2025-01-22,55.55,Clothing,S003
23,2025-01-23,600.00,Electronics,S004
24,2025-01-24,18.99,Books,S002
25,2025-01-25,250.00,Sports,S001
26,2025-01-26,75.00,Beauty,S003
27,2025-01-27,980.00,Furniture,S005
28,2025-01-28,130.30,Clothing,S001
29,2025-01-29,410.00,Electronics,S004
30,2025-01-30,39.99,Books,S002
31,2025-01-31,110.00,Home,S003
32,2025-02-01,67.45,Beauty,S001
33,2025-02-02,520.00,Electronics,S004
34,2025-02-03,29.99,Books,S002
35,2025-02-04,845.00,Furniture,S005
36,2025-02-05,99.50,Sports,S003
37,2025-02-06,210.00,Clothing,S001
38,2025-02-07,58.75,Books,S002
39,2025-02-08,999.99,Electronics,S004
40,2025-02-09,33.33,Beauty,S003
